Date;Open;High;Low;Close;Adj Close;Volume
21/05/2004;43150002;43459999;43000000;43400002;30141182;2493000
24/05/2004;44220001;44599998;44020000;44560001;30946789;3803600
25/05/2004;44549999;44919998;44250000;44700001;31044029;3989900
26/05/2004;44349998;44980000;44130001;44759998;31085682;3432900
27/05/2004;45000000;46619999;44910000;46200001;32085766;6691500
28/05/2004;46000000;46500000;45450001;45799999;31807959;5323600
01/06/2004;45900002;46299999;45509998;45880001;31863529;4211300
02/06/2004;47220001;47220001;45900002;46750000;32467739;4115400
03/06/2004;46450001;46650002;46099998;46099998;32016315;2363100
04/06/2004;46299999;47029999;46200001;46900002;32571922;2832700
07/06/2004;47500000;48400002;47470001;48130001;33426147;5770800
08/06/2004;48000000;48130001;47619999;48090000;33398361;3664400
09/06/2004;48090000;48820000;48049999;48660000;33794231;3340400
10/06/2004;48619999;48830002;48439999;48750000;33856728;2532500
14/06/2004;48500000;48980000;48369999;48830002;33912285;4027300
15/06/2004;49900002;49900002;48900002;49250000;34203972;7011800
16/06/2004;49470001;50000000;49310001;49900002;34655403;3370100
17/06/2004;49580002;49689999;49340000;49470001;34356781;3540400
18/06/2004;49320000;49950001;49240002;49799999;34585949;4066600
21/06/2004;49650002;49919998;49470001;49500000;34377609;2346100
22/06/2004;49349998;49790001;49330002;49669998;34495686;2640700
23/06/2004;49500000;50750000;49400002;50669998;35190178;3559100
24/06/2004;50259998;50779999;50110001;50349998;34967937;2463300
25/06/2004;50419998;51349998;50400002;51299999;35627693;4449200
28/06/2004;51299999;51490002;50099998;50209999;34870701;2966400
29/06/2004;49990002;50700001;49820000;50509998;35079056;3127500
30/06/2004;50509998;51230000;50419998;51090000;35481865;2692000
01/07/2004;50099998;50529999;49570000;49900002;34655403;3591700
02/07/2004;49520000;49689999;48840000;49520000;34391495;2820700
06/07/2004;49900002;50110001;49070000;49310001;34245655;4004200
07/07/2004;49549999;49830002;49130001;49389999;34301201;2882300
08/07/2004;49389999;50270000;48820000;49970001;34704025;3536200
09/07/2004;49939999;50250000;49880001;50040001;34752632;2353100
12/07/2004;49950001;50299999;49750000;50200001;34863766;2947400
13/07/2004;50200001;50369999;49919998;50259998;34905430;2052000
14/07/2004;50259998;50650002;49150002;49320000;34252609;2811600
15/07/2004;49099998;49470001;48340000;49139999;34127586;3533600
16/07/2004;49599998;49610001;49000000;49130001;34120655;2191100
19/07/2004;49349998;49529999;48480000;48669998;33801170;2645900
20/07/2004;48680000;48860001;48310001;48759998;33863663;2419800
21/07/2004;48700001;49090000;47720001;47720001;33141388;3197200
22/07/2004;47720001;48029999;46400002;47299999;32849720;6510000
23/07/2004;47310001;47380001;46610001;47060001;32683041;2905500
26/07/2004;47099998;47419998;46889999;47000000;32641354;2238500
27/07/2004;47349998;48349998;47110001;48220001;33488667;2979300
28/07/2004;48740002;49770000;48509998;49009998;34037312;4192600
29/07/2004;49400002;49950001;49209999;49680000;34502617;2885700
30/07/2004;49900002;51250000;49740002;50750000;35245735;4844300
02/08/2004;50200001;51049999;50160000;50910000;35356857;2417200
03/08/2004;50939999;51459999;50610001;50759998;35252674;3477700
04/08/2004;50599998;51049999;50299999;51000000;35419353;3574400
05/08/2004;51000000;51180000;50000000;50009998;34731804;2862300
06/08/2004;49970001;49970001;48270000;48330002;33565048;3667000
09/08/2004;48799999;48939999;48459999;48759998;33863663;2382900
10/08/2004;48509998;49610001;48509998;49610001;34454010;3542600
11/08/2004;49250000;49790001;48529999;49680000;34642277;2992200
12/08/2004;49439999;49750000;48639999;49330002;34398239;2987600
13/08/2004;49700001;49799999;49200001;49720001;34670177;2226700
16/08/2004;49720001;51070000;49639999;50950001;35527863;4286400
17/08/2004;51200001;51320000;50180000;50310001;35081581;3607200
18/08/2004;50290001;50750000;49930000;50740002;35381424;2006100
19/08/2004;50740002;50830002;49950001;50250000;35039738;2199900
20/08/2004;50000000;50560001;49970001;50459999;35186180;3430000
23/08/2004;50750000;50759998;50349998;50650002;35318661;2112700
